Company_Name,Website,Phone_Number,Yelp_Listing
Tamarind Vietnamese Grill & Noodle House,,(403) 262-6644,https://www.yelp.com/biz/tamarind-vietnamese-grill-and-noodle-house-calgary
OEB Breakfast Co. | Mission,eatoeb.com,(587) 356-6323,https://www.yelp.com/biz/oeb-breakfast-co-mission-calgary-5?osq=Restaurants
Rouge,rougecalgary.com,(403) 531-2767,https://www.yelp.com/biz/rouge-calgary?osq=Restaurants
Grumans Catering & Delicatessen,grumans.ca,(403) 261-9003,https://www.yelp.com/biz/grumans-catering-and-delicatessen-calgary-2?osq=Restaurants
Briggs Kitchen + Bar,briggskandb.com,(587) 350-5015,https://www.yelp.com/biz/briggs-kitchen-bar-calgary?osq=Restaurants
Pho Dau Bo,,(403) 272-5160,https://www.yelp.com/biz/pho-dau-bo-calgary?osq=Restaurants
Damascus,damascuscalgary.com,(403) 244-2424,https://www.yelp.com/biz/damascus-calgary-2?osq=Restaurants
Inglewood Drive Inn,inglewooddrivein.com,(403) 265-5198,https://www.yelp.com/biz/inglewood-drive-inn-calgary?osq=Restaurants
Bbq Express,bbqexpress.ca,(403) 230-8888,https://www.yelp.com/biz/bbq-express-calgary?osq=Restaurants
Blowers & Grafton,blowersgrafton.com,(403) 276-1770,https://www.yelp.com/biz/blowers-and-grafton-calgary?osq=Restaurants
Cardinale,cardinale.ca,(403) 264-6046,https://www.yelp.com/biz/cardinale-calgary?osq=Restaurants
Belgian Beer Cafe,,(403) 457-6207,https://www.yelp.com/biz/belgian-beer-cafe-calgary-3?osq=Restaurants
The Guild,theguildrestaurant.com,(403) 770-2313,https://www.yelp.com/biz/the-guild-calgary?osq=Restaurants
State & Main Kitchen & Bar,stateandmain.ca,(587) 350-1333,https://www.yelp.com/biz/state-and-main-kitchen-and-bar-calgary-4?osq=Restaurants
Embarcadero Wine & Oyster Bar,oysterbar.ca,(403) 263-0848,https://www.yelp.com/biz/embarcadero-wine-and-oyster-bar-calgary?osq=Restaurants
Deagla Restaurant,deagla.com,(403) 474-5489,https://www.yelp.com/biz/deagla-restaurant-calgary?osq=Restaurants
Saigon Red Sky,,(403) 265-8668,https://www.yelp.com/biz/saigon-red-sky-calgary?osq=Restaurants
Poke & Sushi Burritos,po-ke.ca,(403) 455-6507,https://www.yelp.com/biz/poke-and-sushi-burritos-calgary?osq=Restaurants
Dirtbelly,dirtbelly.com,(403) 452-3340,https://www.yelp.com/biz/dirtbelly-calgary?osq=Restaurants
Mercato West,mercatowest.com,(403) 263-6996,https://www.yelp.com/biz/mercato-west-calgary?osq=Restaurants
Casbah Restaurant,casbahrestaurant.ca,(403) 265-9800,https://www.yelp.com/biz/casbah-restaurant-calgary?osq=Restaurants
Spolumbo's,spolumbos.com,(587) 353-5330,https://www.yelp.com/biz/spolumbos-calgary-2?osq=Restaurants
Pita Grill,,(403) 452-5650,https://www.yelp.com/biz/pita-grill-calgary?osq=Restaurants
Teff N' Greens,teffngreens.ca,(587) 437-8333,https://www.yelp.com/biz/teff-n-greens-calgary?osq=Restaurants
