Company_Name,Website,Phone_Number,Yelp_Listing
Nights & Weekends,nightsandweekends.ca,(403) 903-6848,https://www.yelp.com/biz/nights-and-weekends-calgary?osq=Restaurants
Tacos Mexico,tacosmexicoyyc.com,(403) 457-6117,https://www.yelp.com/biz/tacos-mexico-calgary?osq=Restaurants
ZCREW Cafe,zcrewcafe.com,(403) 460-6668,https://www.yelp.com/biz/zcrew-cafe-calgary?osq=Restaurants
Manna Korean Cuisine,,,https://www.yelp.com/biz/manna-korean-cuisine-calgary?osq=Restaurants
Native Tongues Taqueria,nativetongues.ca,(403) 263-9444,https://www.yelp.com/biz/native-tongues-taqueria-calgary-2?osq=Restaurants
Shinjuku Ramen Noodle Bar,,(587) 356-8881,https://www.yelp.com/biz/shinjuku-ramen-noodle-bar-calgary?osq=Restaurants
Charcut Roast House,charcut.com,(403) 984-2180,https://www.yelp.com/biz/charcut-roast-house-calgary?osq=Restaurants
Tang Dynasty Restaurant,,(403) 457-9777,https://www.yelp.com/biz/tang-dynasty-restaurant-calgary-2?osq=Restaurants
Boss Is Very Busy,,(587) 353-1165,https://www.yelp.com/biz/boss-is-very-busy-calgary?osq=Restaurants
iBaoza,ibaoza.com,(587) 315-8558,https://www.yelp.com/biz/ibaoza-calgary?osq=Restaurants
Red Tails Cajun Seafood Bar,,(403) 455-6802,https://www.yelp.com/biz/red-tails-cajun-seafood-bar-calgary?osq=Restaurants
Calan Beef Noodle,calanbeefnoodle.ca,(587) 350-0050,https://www.yelp.com/biz/calan-beef-noodle-calgary?osq=Restaurants
Mamak Dang Fusion Malaysian Cuisine,,(403) 261-1811,https://www.yelp.com/biz/mamak-dang-fusion-malaysian-cuisine-calgary-10?osq=Restaurants
Katsuten,katsuten.ca,(403) 475-1677,https://www.yelp.com/biz/katsuten-calgary-3?osq=Restaurants
White Elephant Thai Cuisine,whiteelephantcuisinecalgary.co…,(403) 457-1172,https://www.yelp.com/biz/white-elephant-thai-cuisine-calgary?osq=Restaurants
The Shoe & Canoe Public House,shoeandcanoe.ca,(403) 205-5416,https://www.yelp.com/biz/the-shoe-and-canoe-public-house-calgary?osq=Restaurants
Tamarind Vietnamese Grill & Noodle House,,(403) 262-6644,https://www.yelp.com/biz/tamarind-vietnamese-grill-and-noodle-house-calgary
Comery Block Barbecue,comeryblock.com,(403) 453-7636,https://www.yelp.com/biz/comery-block-barbecue-calgary?osq=Restaurants
Bridgette Bar,bridgettebar.com,,https://www.yelp.com/biz/bridgette-bar-calgary?osq=Restaurants
The Holy Grill,holygrill.ca,(403) 261-9759,https://www.yelp.com/biz/the-holy-grill-calgary?osq=Restaurants
Jimmy's A & A Deli,,(403) 289-1400,https://www.yelp.com/biz/jimmys-a-and-a-deli-calgary-2?osq=Restaurants
K Town Fried Chicken,ktownfriedchicken.com,(403) 445-0610,https://www.yelp.com/biz/k-town-fried-chicken-calgary-2?osq=Restaurants
Great Taste Chinese Restaurant,greattastecalgary.com,(403) 265-9880,https://www.yelp.com/biz/great-taste-chinese-restaurant-calgary?osq=Restaurants
Thi Thi Vietnamese Subs,,(403) 265-5452,https://www.yelp.com/biz/thi-thi-vietnamese-subs-calgary?osq=Restaurants
N9NA,n9na.ca,(403) 263-6355,https://www.yelp.com/biz/n9na-calgary?osq=Restaurants
MARKET Calgary,marketcalgary.ca,(403) 474-4414,https://www.yelp.com/biz/market-calgary-calgary?osq=Restaurants
Moose and Poncho,,(403) 452-1846,https://www.yelp.com/biz/moose-and-poncho-calgary?osq=Restaurants
Khao San Thai Kitchen,khaosanthaikitchen.ca,(587) 353-2668,https://www.yelp.com/biz/khao-san-thai-kitchen-calgary?osq=Restaurants
Izakaya Hanami,,(403) 453-0852,https://www.yelp.com/biz/izakaya-hanami-calgary?osq=Restaurants
The Himalayan,himalayancuisine.ca,(403) 984-3384,https://www.yelp.com/biz/the-himalayan-calgary?osq=Restaurants
Edelweiss Village,edelweissimports.com,(403) 282-6600,https://www.yelp.com/biz/edelweiss-village-calgary?osq=Restaurants
Soyummy Factory,,(403) 903-0075,https://www.yelp.com/biz/soyummy-factory-calgary?osq=Restaurants
Moon Korean BBQ,,(403) 266-4114,https://www.yelp.com/biz/moon-korean-bbq-calgary-2?osq=Restaurants
Little Lebanon,littlelebanonpita.com,(403) 217-0500,https://www.yelp.com/biz/little-lebanon-calgary?osq=Restaurants
Pho Huong Viet Noodle House,phohuongviet-calgary.com,(403) 686-3799,https://www.yelp.com/biz/pho-huong-viet-noodle-house-calgary?osq=Restaurants
Pho Dau Bo,,(403) 272-5160,https://www.yelp.com/biz/pho-dau-bo-calgary?osq=Restaurants
Damascus,damascuscalgary.com,(403) 244-2424,https://www.yelp.com/biz/damascus-calgary-2?osq=Restaurants
Calgary Court Restaurant,,(403) 264-7890,https://www.yelp.com/biz/calgary-court-restaurant-calgary?osq=Restaurants
Model Milk,modelmilk.ca,(403) 265-7343,https://www.yelp.com/biz/model-milk-calgary?osq=Restaurants
Anatolia,anatoliaturkishfood.ca,(403) 616-2238,https://www.yelp.com/biz/anatolia-calgary?osq=Restaurants
Song Huong Vietnamese Restaurant,,(403) 313-9509,https://www.yelp.com/biz/song-huong-vietnamese-restaurant-calgary-2?osq=Restaurants
Mazaj Mediterrainian Cusine,calgarymazaj.com,,https://www.yelp.com/biz/mazaj-mediterrainian-cusine-calgary?osq=Restaurants
Pho Hoang Vietnamese Restaurant,,,https://www.yelp.com/biz/pho-hoang-vietnamese-restaurant-calgary?osq=Restaurants
Noodle On The Road,xiyuchangan.com,(403) 764-8668,https://www.yelp.com/biz/noodle-on-the-road-calgary?osq=Restaurants
Alumni Sandwich & Liquor Bar,alumnisandwiches.com,(403) 455-7255,https://www.yelp.com/biz/alumni-sandwich-and-liquor-bar-calgary?osq=Restaurants
Jonas Restaurant & Bar,jonasrestaurant.com,(403) 262-3302,https://www.yelp.com/biz/jonas-restaurant-and-bar-calgary?osq=Restaurants
Po-ke,po-ke.ca,(403) 455-6507,https://www.yelp.com/biz/po-ke-calgary?osq=Restaurants
Galaxie Diner,galaxiediner.ca,(403) 228-0001,https://www.yelp.com/biz/galaxie-diner-calgary?osq=Restaurants
King's - On The Hill,kingsrestaurant.net,(403) 475-7781,https://www.yelp.com/biz/kings-on-the-hill-calgary-6?osq=Restaurants
Tamarind Vietnamese Grill & Noodle House,,(403) 262-6644,https://www.yelp.com/biz/tamarind-vietnamese-grill-and-noodle-house-calgary?osq=Restaurants
Tuscan Soup Garden,tuscansoupgarden.com,(403) 262-9797,https://www.yelp.com/biz/tuscan-soup-garden-calgary?osq=Restaurants
Barrio Fiesta,,(403) 272-2970,https://www.yelp.com/biz/barrio-fiesta-calgary?osq=Restaurants
Szechuan Restaurant,,(403) 276-8876,https://www.yelp.com/biz/szechuan-restaurant-calgary?osq=Restaurants
Namsan Korean Cuisine,namsan-korean-cuisine.business…,(403) 460-1083,https://www.yelp.com/biz/namsan-korean-cuisine-calgary-3?osq=Restaurants
Taste Of Korea,tasteofkorea.ca,(403) 245-8979,https://www.yelp.com/biz/taste-of-korea-calgary-3?osq=Restaurants
Meat & Bread,meatandbread.com,(403) 764-6225,https://www.yelp.com/biz/meat-and-bread-calgary?osq=Restaurants
