Company_Name,Website,Phone_Number,Yelp_Listing
Native Tongues Taqueria,nativetongues.ca,(403) 263-9444,https://www.yelp.com/biz/native-tongues-taqueria-calgary-2?osq=Restaurants
iBaoza,ibaoza.com,(587) 315-8558,https://www.yelp.com/biz/ibaoza-calgary?osq=Restaurants
Boss Is Very Busy,,(587) 353-1165,https://www.yelp.com/biz/boss-is-very-busy-calgary?osq=Restaurants
Red Tails Cajun Seafood Bar,,(403) 455-6802,https://www.yelp.com/biz/red-tails-cajun-seafood-bar-calgary?osq=Restaurants
Mamak Dang Fusion Malaysian Cuisine,,(403) 261-1811,https://www.yelp.com/biz/mamak-dang-fusion-malaysian-cuisine-calgary-10?osq=Restaurants
Comery Block Barbecue,comeryblock.com,(403) 453-7636,https://www.yelp.com/biz/comery-block-barbecue-calgary?osq=Restaurants
Katsuten,katsuten.ca,(403) 475-1677,https://www.yelp.com/biz/katsuten-calgary-3?osq=Restaurants
Great Taste Chinese Restaurant,greattastecalgary.com,(403) 265-9880,https://www.yelp.com/biz/great-taste-chinese-restaurant-calgary?osq=Restaurants
N9NA,n9na.ca,(403) 263-6355,https://www.yelp.com/biz/n9na-calgary?osq=Restaurants
Khao San Thai Kitchen,khaosanthaikitchen.ca,(587) 353-2668,https://www.yelp.com/biz/khao-san-thai-kitchen-calgary?osq=Restaurants
The Himalayan,himalayancuisine.ca,(403) 984-3384,https://www.yelp.com/biz/the-himalayan-calgary?osq=Restaurants
Workshop Kitchen + Culture,workshopcalgary.com,(403) 266-7062,https://www.yelp.com/biz/workshop-kitchen-culture-calgary?osq=Restaurants
Tokyo Street Market,tokyostreetmarket.com,(403) 452-3794,https://www.yelp.com/biz/tokyo-street-market-calgary?osq=Restaurants
Ten Foot Henry,tenfoothenry.com,(403) 475-5537,https://www.yelp.com/biz/ten-foot-henry-calgary?osq=Restaurants
Tamarind Vietnamese Grill & Noodle House,,(403) 262-6644,https://www.yelp.com/biz/tamarind-vietnamese-grill-and-noodle-house-calgary
The Shoe & Canoe Public House,shoeandcanoe.ca,(403) 205-5416,https://www.yelp.com/biz/the-shoe-and-canoe-public-house-calgary?osq=Restaurants
White Elephant Thai Cuisine,whiteelephantcuisinecalgary.co…,(403) 457-1172,https://www.yelp.com/biz/white-elephant-thai-cuisine-calgary?osq=Restaurants
Bridgette Bar,bridgettebar.com,,https://www.yelp.com/biz/bridgette-bar-calgary?osq=Restaurants
Jimmy's A & A Deli,,(403) 289-1400,https://www.yelp.com/biz/jimmys-a-and-a-deli-calgary-2?osq=Restaurants
The Holy Grill,holygrill.ca,(403) 261-9759,https://www.yelp.com/biz/the-holy-grill-calgary?osq=Restaurants
K Town Fried Chicken,ktownfriedchicken.com,(403) 445-0610,https://www.yelp.com/biz/k-town-fried-chicken-calgary-2?osq=Restaurants
Thi Thi Vietnamese Subs,,(403) 265-5452,https://www.yelp.com/biz/thi-thi-vietnamese-subs-calgary?osq=Restaurants
MARKET Calgary,marketcalgary.ca,(403) 474-4414,https://www.yelp.com/biz/market-calgary-calgary?osq=Restaurants
Manna Korean Cuisine,,,https://www.yelp.com/biz/manna-korean-cuisine-calgary?osq=Restaurants
Nights & Weekends,nightsandweekends.ca,(403) 903-6848,https://www.yelp.com/biz/nights-and-weekends-calgary?osq=Restaurants
Tacos Mexico,tacosmexicoyyc.com,(403) 457-6117,https://www.yelp.com/biz/tacos-mexico-calgary?osq=Restaurants
Tang Dynasty Restaurant,,(403) 457-9777,https://www.yelp.com/biz/tang-dynasty-restaurant-calgary-2?osq=Restaurants
ZCREW Cafe,zcrewcafe.com,(403) 460-6668,https://www.yelp.com/biz/zcrew-cafe-calgary?osq=Restaurants
Shinjuku Ramen Noodle Bar,,(587) 356-8881,https://www.yelp.com/biz/shinjuku-ramen-noodle-bar-calgary?osq=Restaurants
Calan Beef Noodle,calanbeefnoodle.ca,(587) 350-0050,https://www.yelp.com/biz/calan-beef-noodle-calgary?osq=Restaurants
Moose and Poncho,,(403) 452-1846,https://www.yelp.com/biz/moose-and-poncho-calgary?osq=Restaurants
Izakaya Hanami,,(403) 453-0852,https://www.yelp.com/biz/izakaya-hanami-calgary?osq=Restaurants
Edelweiss Village,edelweissimports.com,(403) 282-6600,https://www.yelp.com/biz/edelweiss-village-calgary?osq=Restaurants
Moon Korean BBQ,,(403) 266-4114,https://www.yelp.com/biz/moon-korean-bbq-calgary-2?osq=Restaurants
