Company_Name,Website,Phone_Number,Yelp_Listing
Tamarind Vietnamese Grill & Noodle House,,(403) 262-6644,https://www.yelp.com/biz/tamarind-vietnamese-grill-and-noodle-house-calgary
Papito's Chicken,,(403) 475-6664,https://www.yelp.com/biz/papitos-chicken-calgary?osq=Restaurants
Moon Korean BBQ,,(403) 266-4114,https://www.yelp.com/biz/moon-korean-bbq-calgary-2?osq=Restaurants
Jollibee,jollibeecanada.com,(587) 323-4788,https://www.yelp.com/biz/jollibee-calgary-2?osq=Restaurants
N9NA,n9na.ca,(403) 263-6355,https://www.yelp.com/biz/n9na-calgary?osq=Restaurants
NOtaBLE,notabletherestaurant.ca,(403) 288-4372,https://www.yelp.com/biz/notable-calgary?osq=Restaurants
Fish & Chips,,,https://www.yelp.com/biz/fish-and-chips-calgary?osq=Restaurants
Mamak Dang Fusion Malaysian Cuisine,,(403) 261-1811,https://www.yelp.com/biz/mamak-dang-fusion-malaysian-cuisine-calgary-10?osq=Restaurants
Tang Dynasty Restaurant,,(403) 457-9777,https://www.yelp.com/biz/tang-dynasty-restaurant-calgary-2?osq=Restaurants
White Elephant Thai Cuisine,whiteelephantcuisinecalgary.co…,(403) 457-1172,https://www.yelp.com/biz/white-elephant-thai-cuisine-calgary?osq=Restaurants
Anatolia,anatoliaturkishfood.ca,(403) 616-2238,https://www.yelp.com/biz/anatolia-calgary?osq=Restaurants
Great Taste Chinese Restaurant,greattastecalgary.com,(403) 265-9880,https://www.yelp.com/biz/great-taste-chinese-restaurant-calgary?osq=Restaurants
Noodle On The Road,xiyuchangan.com,(403) 764-8668,https://www.yelp.com/biz/noodle-on-the-road-calgary?osq=Restaurants
Model Milk,modelmilk.ca,(403) 265-7343,https://www.yelp.com/biz/model-milk-calgary?osq=Restaurants
Calan Beef Noodle,calanbeefnoodle.ca,(587) 350-0050,https://www.yelp.com/biz/calan-beef-noodle-calgary?osq=Restaurants
Charcut Roast House,charcut.com,(403) 984-2180,https://www.yelp.com/biz/charcut-roast-house-calgary?osq=Restaurants
Shinjuku Ramen Noodle Bar,,(587) 356-8881,https://www.yelp.com/biz/shinjuku-ramen-noodle-bar-calgary?osq=Restaurants
K Town Fried Chicken,ktownfriedchicken.com,(403) 445-0610,https://www.yelp.com/biz/k-town-fried-chicken-calgary-2?osq=Restaurants
Khao San Thai Kitchen,khaosanthaikitchen.ca,(587) 353-2668,https://www.yelp.com/biz/khao-san-thai-kitchen-calgary?osq=Restaurants
Nights & Weekends,nightsandweekends.ca,(403) 903-6848,https://www.yelp.com/biz/nights-and-weekends-calgary?osq=Restaurants
Manna Korean Cuisine,,,https://www.yelp.com/biz/manna-korean-cuisine-calgary?osq=Restaurants
Comery Block Barbecue,comeryblock.com,(403) 453-7636,https://www.yelp.com/biz/comery-block-barbecue-calgary?osq=Restaurants
Kim's Katsu,kims-katsu.business.site,(403) 453-7461,https://www.yelp.com/biz/kims-katsu-calgary?osq=Restaurants
Boss Is Very Busy,,(587) 353-1165,https://www.yelp.com/biz/boss-is-very-busy-calgary?osq=Restaurants
Katsuten,katsuten.ca,(403) 475-1677,https://www.yelp.com/biz/katsuten-calgary-3?osq=Restaurants
iBaoza,ibaoza.com,(587) 315-8558,https://www.yelp.com/biz/ibaoza-calgary?osq=Restaurants
Workshop Kitchen + Culture,workshopcalgary.com,(403) 266-7062,https://www.yelp.com/biz/workshop-kitchen-culture-calgary?osq=Restaurants
Red Tails Cajun Seafood Bar,,(403) 455-6802,https://www.yelp.com/biz/red-tails-cajun-seafood-bar-calgary?osq=Restaurants
The Himalayan,himalayancuisine.ca,(403) 984-3384,https://www.yelp.com/biz/the-himalayan-calgary?osq=Restaurants
Tokyo Street Market,tokyostreetmarket.com,(403) 452-3794,https://www.yelp.com/biz/tokyo-street-market-calgary?osq=Restaurants
Ten Foot Henry,tenfoothenry.com,(403) 475-5537,https://www.yelp.com/biz/ten-foot-henry-calgary?osq=Restaurants
