Company_Name,Website,Phone_Number,Yelp_Listing
Tamarind Vietnamese Grill & Noodle House,,(403) 262-6644,https://www.yelp.com/biz/tamarind-vietnamese-grill-and-noodle-house-calgary
White Elephant Thai Cuisine,http://whiteelephantcuisinecalgary.co…,(403) 457-1172,https://www.yelp.com/biz/white-elephant-thai-cuisine-calgary?osq=Restaurants
Izakaya Hanami,,(403) 453-0852,https://www.yelp.com/biz/izakaya-hanami-calgary?osq=Restaurants
Shiki Menya,http://shikimenya.ca,(403) 454-2722,https://www.yelp.com/biz/shiki-menya-calgary?osq=Restaurants
The Spicy Amigos,http://thespicyamigos.com,(587) 353-1484,https://www.yelp.com/biz/the-spicy-amigos-calgary?osq=Restaurants
Ke Charcoal Grill & Sushi,http://kecharcoalgrill.com,(403) 283-3288,https://www.yelp.com/biz/ke-charcoal-grill-and-sushi-calgary?osq=Restaurants
Bolsa  Restaurant,http://bolsarestaurant.com,(403) 255-3777,https://www.yelp.com/biz/bolsa-restaurant-calgary?osq=Restaurants
Shawarma Barlow,http://shawarmabarlow.com,(403) 455-9606,https://www.yelp.com/biz/shawarma-barlow-calgary?osq=Restaurants
Pocket Dawg,,,https://www.yelp.com/biz/pocket-dawg-no-title?osq=Restaurants
Milestones,http://milestonesrestaurants.com,(403) 410-9521,https://www.yelp.com/biz/milestones-calgary-3?osq=Restaurants
Han Corea,,,https://www.yelp.com/biz/han-corea-calgary-2?osq=Restaurants
900 Degree Pizza,,(403) 299-9900,https://www.yelp.com/biz/900-degree-pizza-calgary?osq=Restaurants
The Chick Pea Mediterranean Cuisine,http://thechickpea.ca,(403) 264-9299,https://www.yelp.com/biz/the-chick-pea-mediterranean-cuisine-calgary?osq=Restaurants
Moti Mahal ,http://motimahal.ca,(403) 228-9990,https://www.yelp.com/biz/moti-mahal-calgary?osq=Restaurants
Marathon Ethiopian Restaurant,http://marathonethiopian.ca,(403) 283-6796,https://www.yelp.com/biz/marathon-ethiopian-restaurant-calgary?osq=Restaurants
The Hexagon Board Game Cafe,http://thehexcafe.com,(403) 209-2881,https://www.yelp.com/biz/the-hexagon-board-game-cafe-calgary?osq=Restaurants
Saigon Highlands,http://saigon-highlands.business.site,(403) 457-6688,https://www.yelp.com/biz/saigon-highlands-calgary?osq=Restaurants
Sushi Kimu,,(587) 293-9380,https://www.yelp.com/biz/sushi-kimu-calgary?osq=Restaurants
Modern Steak,http://modernsteak.ca,(403) 670-6873,https://www.yelp.com/biz/modern-steak-calgary-2?osq=Restaurants
Common Bond,http://commonbondyyc.com,(587) 349-1000,https://www.yelp.com/biz/common-bond-calgary-2?osq=Restaurants
Gyu-Kaku Japanese BBQ,http://gyu-kaku.com,(587) 538-6601,https://www.yelp.com/biz/gyu-kaku-japanese-bbq-calgary?osq=Restaurants
La Brezza Restaurant & Cafe,http://labrezza.ca,(403) 262-6230,https://www.yelp.com/biz/la-brezza-restaurant-and-cafe-calgary?osq=Restaurants
Manilla's Finest Grill and Pub,,(403) 235-5533,https://www.yelp.com/biz/manillas-finest-grill-and-pub-calgary?osq=Restaurants
Sense Asian,,,https://www.yelp.com/biz/sense-asian-calgary?osq=Restaurants
Jeanne's Pizza Pantry,http://jeannespizzapantry.com,(403) 249-1279,https://www.yelp.com/biz/jeannes-pizza-pantry-calgary?osq=Restaurants
Moroccan Tent,http://moroccantent.ca,(403) 236-5620,https://www.yelp.com/biz/moroccan-tent-calgary?osq=Restaurants
Chili Hut,,(403) 455-9777,https://www.yelp.com/biz/chili-hut-calgary-2?osq=Restaurants
Chillies,http://Chilliescalgary.com,(403) 454-7200,https://www.yelp.com/biz/chillies-calgary?osq=Restaurants
Mix Grill Shawarma,,(403) 283-0309,https://www.yelp.com/biz/mix-grill-shawarma-calgary?osq=Restaurants
Calgary Shawarma,,(403) 264-5885,https://www.yelp.com/biz/calgary-shawarma-calgary-3?osq=Restaurants
Beeland,,,https://www.yelp.com/biz/beeland-calgary?osq=Restaurants
Bowness Vietnamese Restaurant,,(403) 247-8848,https://www.yelp.com/biz/bowness-vietnamese-restaurant-calgary?osq=Restaurants
Mozys Cafe,,(403) 984-3220,https://www.yelp.com/biz/mozys-cafe-calgary?osq=Restaurants
Wow Chicken Chinatown,,(403) 454-4514,https://www.yelp.com/biz/wow-chicken-chinatown-calgary?osq=Restaurants
Milano Coffee Calgary,http://milanocoffee.ca,(403) 452-6311,https://www.yelp.com/biz/milano-coffee-calgary-calgary?osq=Restaurants
Choices Cafe & Bistro,,(403) 265-5977,https://www.yelp.com/biz/choices-cafe-and-bistro-calgary?osq=Restaurants
Lunch Today,,(403) 266-8686,https://www.yelp.com/biz/lunch-today-calgary?osq=Restaurants
Toi Shan Restaurant,http://toishanrestaurant.com,(403) 246-4242,https://www.yelp.com/biz/toi-shan-restaurant-calgary?osq=Restaurants
Golden Island Restaurant,,(403) 230-3088,https://www.yelp.com/biz/golden-island-restaurant-calgary?osq=Restaurants
Pfanntastic Pannenkoek Haus,http://dutchpancakes.ca,(403) 243-7757,https://www.yelp.com/biz/pfanntastic-pannenkoek-haus-calgary?osq=Restaurants
Naan Stop Grill,http://naanstopgrill.ca,(403) 815-0290,https://www.yelp.com/biz/naan-stop-grill-calgary?osq=Restaurants
Awesome Burger,,(403) 255-3276,https://www.yelp.com/biz/awesome-burger-calgary?osq=Restaurants
Blaze Fast Fire'd Pizza,http://blazepizza.com,(403) 879-9159,https://www.yelp.com/biz/blaze-fast-fired-pizza-calgary-2?osq=Restaurants
Baba's Kitchen,http://calgaryfarmersmarket.ca,,https://www.yelp.com/biz/babas-kitchen-calgary?osq=Restaurants
Original Joe's Restaurant & Bar,http://originaljoes.ca,(403) 670-5637,https://www.yelp.com/biz/original-joes-restaurant-and-bar-calgary-12?osq=Restaurants
Melrose Cafe & Bar,http://melrosecalgary.com,(403) 984-3577,https://www.yelp.com/biz/melrose-cafe-and-bar-calgary-3?osq=Restaurants
PZA Parlour,http://pzaparlour.com,(403) 455-2033,https://www.yelp.com/biz/pza-parlour-calgary?osq=Restaurants
Saigon Maxim,,(587) 353-0033,https://www.yelp.com/biz/saigon-maxim-calgary-2?osq=Restaurants
Pho An Vietnamese Cuisine,,(403) 451-9184,https://www.yelp.com/biz/pho-an-vietnamese-cuisine-calgary-2?osq=Restaurants
Sushi Boat,http://sushiboat.net,(403) 239-1818,https://www.yelp.com/biz/sushi-boat-calgary?osq=Restaurants
